network,edge,single_fraction,orthogonal_fraction,direction_factor
2,1,0.0022844528537815825,0.0012175072756631774,0.8643003091143379
2,2,7.687703887524127e-05,0.0002106938224088655,0.16807335863053388
2,3,0.041469271057602564,0.025658971085005824,0.744459708688527
2,4,0.10132168548830214,0.06460634268753233,0.7224058977666018
2,5,0.16937844864722673,0.0829270688978601,0.9408402084356643
2,6,0.009333652082222976,0.024933182668570506,0.17243599340563154
2,7,0.0070261145483796385,0.0032365549162242384,0.9999684079775533
2,8,0.13968891774544615,0.06756898916250174,0.9522885546236908
2,9,0.11408697691220589,0.0748623219954634,0.7019833521930108
2,10,0.004244809989308783,0.043614510390789354,0.044831295305948336
2,11,0.0001090371407221751,0.004878947936316714,0.010294429995925761
2,12,0.012765403696265703,0.012327705905955229,0.47698675794318257
2,13,0.022431665266531432,0.01234730762706348,0.8368416383462006
2,14,0.10251122913978786,0.1226506672183963,0.3849954170090763
2,15,0.11141230373992173,0.053772132396363075,0.9543988978901449
2,16,0.14281756542333457,0.35520223461928796,0.18520809729343993
2,17,0.01830954876895445,0.04949983574658383,0.17038364998327055
3,0,0.00018848305462511398,0.00040788756474481987,0.2834347817737876
3,1,0.001646308430506786,0.0014108702045354767,0.7157237647461019
3,2,1.0595619342261764e-06,0.0006755216317946939,0.0009620737921395441
3,3,0.001072753602981971,0.007551447341232804,0.08713468811028115
3,4,0.00019437089292299718,0.002200515515358961,0.05417863913726703
3,5,0.001289217520030514,0.001149278922439541,0.6880532559739386
3,6,1.464614847821061e-05,0.08019763823996162,0.00011201679722108904
3,7,0.003499250962347173,0.005588179069675414,0.38408387432823915
3,8,0.10544582650889467,0.07796956427710293,0.8295175628090496
3,9,0.0816130478186656,0.2244856274755225,0.2229935766660787
3,10,0.01868301171788358,0.012239568524074203,0.9362720860140993
3,11,0.03251212353125989,0.022312835938528227,0.8937413708095557
3,12,0.00022108274540831208,0.012223790991518168,0.011093541974574208
3,13,0.08817651879004756,0.05493538263754633,0.9845144448108105
3,14,0.08289359284943916,0.07858104273879951,0.6470300836408838
3,15,0.024466718960413664,0.015477934016242765,0.9695808739758603
3,16,0.044117919999359365,0.028696428617521093,0.9429930150133979
3,17,0.5139640669048013,0.37389648629340083,0.8431457796835683
4,0,0.0004897215996743843,0.0005562105644229295,0.40881440588773604
4,1,0.010367762896892374,0.008769674390516924,0.5489309942747881
4,2,0.0015483063427719154,0.012236125181314887,0.058752878183646384
4,3,0.006954766609881558,0.09594981109225435,0.03365538798049031
4,4,0.028320053349436162,0.020232695635019556,0.6499148852231245
4,5,0.3910962435074799,0.2763446460118542,0.6571261572254247
4,6,0.04950777652244875,0.028738232399548088,0.7998886501325266
4,7,0.054335630591503106,0.02877668406596466,0.8767184133687028
4,8,0.02039666300805964,0.031048101882084796,0.3050283678094498
4,9,0.12098298021206084,0.056197446890539286,0.9995945002394433
4,10,0.025093911695979586,0.05587189680117079,0.208540838299563
4,11,0.007309826290048537,0.016579932838559738,0.20471065820638532
4,12,0.21154674147140476,0.24311576017417935,0.4040260727012316
4,13,0.05403978596366145,0.05415806559290757,0.4633046312067355
4,14,0.018009829938696813,0.07142471647966289,0.11707852757006025
5,0,0.003344278134975044,0.0008323768289838623,0.9423337021878708
5,1,0.0047243992808802295,0.0011767736323876747,0.9416206682016848
5,2,0.05701744109552177,0.01745786476929841,0.7660178926714126
5,3,2.7062990104205392e-05,0.004098393682629631,0.0015487610637381494
5,4,0.05103362571319015,0.02233467981443072,0.5359188215007434
5,5,0.027502467415006452,0.09812818496603577,0.06573553613423792
